ID,commune,facility,coordinates,services,Capacity
1,Zeralda ,L'hepital Belkacemi Tayeb  ,"(36.69481286234817 , 2.8278013644181224)","""Dental Emergency,Gynecology Emergency, Pediatric Emergency,Medical-Surgical Emergency""",90
2,Rahmania,Clinical Hemodialysis The Smart Renal Mahelma,"(36.680722270771014, 2.878642407765846)","""Renadial Hemodialysis""",42
3,Rahmania,Clinical El Wiquaya,"(36.68119703997261, 2.8713975660083513)","""General Emergency,'Cardiac Emergency""",67
4,Rahmania,Polyclinique SIDI ABDELLAH,"(36.69289423609818, 2.852464787369016)","""General Emergency,Gynecology Emergency, ORL, Pediatric Emergency, Dental Emergency, Gastrointestinal Emergency,Burn Emergency,Medical-Surgical Emergency""",40
5,Rahmania,Dispensaire Zaatria,"(36.665546065835066, 2.865610607544431)","""General Emergency,Dental Emergency""",25
6,Rahmania,Women's health clinic,"(36.6854438610203, 2.8812948839592973)","""Gynecology Emergency""",80
7,Rahmania ,Cabinet ORL Dr Benallaoua,"(36.6875087328055, 2.879063286020413)","""ORL""",42
8,Rahmania ,Room care Rahmania clinic,"(36.681568879489426, 2.90592093051146)","""General Emergency""",46
9,Souidania ,Polyclinque de souidania,"(36.7021529249897, 2.9092713285583462)","""Gynecology Emergency, ORL,  Pediatric Emergency, Dental Emergency, General Emergency""",34
10,Souidania ,Polyclinque de souidania 2,"(36.70475651548108, 2.909569495249885)","""General Emergency""",43
11,Souidania ,Clinique de Pneumologie - Dr. MEBARKI,"(36.71521067287698, 2.9092030719149817)","""respiratory emergencies""",52
12,Cheraga ,Clinique Chahrazed,"(36.77328650680487, 2.9497549301741093)","""ORL, Burn Emergency,Medical-Surgical Emergency,General Emergency,Pediatric Emergency,Dental Emergency""",31
13,Cheraga ,Cabinet medical general,"(36.77558003262901, 2.965627675679136)","""General Emergency""",43
14,Cheraga ,Polyclinic of Cheraga,"(36.76830850604806, 2.957616200642417)","""General Emergency""",71
15,Cheraga ,Polyclinique les Dunes Cheraga ,"(36.7704924207475, 2.9592762049712023)","""General Emergency,Pediatric Emergency""",63
16,Cheraga ,Clinique D'hemodialyse Ibtissama,"(36.76854915079953, 2.953667989076001)","""Renadial Hemodialysis""",69
17,Ouled Fayet ,Polyclinique ouled fayet,"(36.7345706396605, 2.9494141993790306)","""General Emergency,Pediatric Emergency,Gynecology Emergency""",44
18,Ouled Fayet ,Clinique Reefak El Feth,"(36.73854642912882, 2.950440728835655)","""General Emergency,Pediatric Emergency,Gynecology Emergency,Neurological Emergency,Gastrointestinal Emergency, Medical-Surgical Emergency""",34
19,Ouled Fayet ,Polyclinique Plateau Ouled Fayet,"(36.719289322601234, 2.9375546626585525)","""General Emergency""",28
23,Douera ,Hepital de Douera,"(36.6671124481307, 2.9427537809864504)","""Infectious Disease Emergency,Renadial Hemodialysis,Orthopedic Emergencies, Burn Emergency,Pediatric Emergency,Ophtalmology Emergency,Medical-Surgical Emergency,respiratory emergencies,Gynecology Emergency,Gastrointestinal Emergency,ORL,Dental Emergency""",147
24,Douera ,Hospital Maternity,"(36.66702570706881, 2.9427808159589617)","""Gynecology Emergency""",87
25,Douera ,Polyclinique Douera,"(36.669129150259174, 2.9396717941202466)","""General Emergency,Pediatric Emergency,Dental Emergency,Gynecology Emergency""",39
95,dely brahim,EHS MAHFOUD BOUCEBCI_ Unite Dely Brahim,"36.749846294218386, 2.985335670193503","""Neurological Emergency""",92
96,dely brahim,Clinique Al Azhar,"36.765621057206694, 2.981125102769521","""Medical-Surgical Emergency,Ophtalmogy Emergency,ORL,Orthopedic Emergencies,Renadial Hemodialysis,Cardiac Emergency,Pediatric Emergency,Medical-Surgical Emergency,Diabetology Emergency,Gastrointestinal Emergency,Gynecology Emergency,Neurological Emergency""",37
98,dely brahim,Polyclinique Urgence H24 Dely Brahim,"36.75329577063006, 2.97709541530582","""General Emergency""",38
105,dely brahim,Polyclinique Dely Brahim,"36.75359760077251, 2.9708837668257684","""General Emergency""",46
106,dely brahim,Clinique du val,"36.754952032928124, 2.958625850527528","""General Emergency""",30
107,dely brahim,CHU de Baenem,"36.81049730519255, 2.97791171992908","""General Emergency""",80
108,dely brahim,Centre de sante belvedere,"36.81341679415071, 2.9842282447286723","""General Emergency""",22
109,dely brahim,Renadial Hemodialysis,"36.81266110440661, 2.9712068246896983","""Renadial Hemodialysis""",52
110,dely brahim,CLINIQUE SAHA PLUS,"36.81319272583897, 2.9830894559679075","""Cardiac Emergency,Diabetology Emergency""",44
158,Beni Messous,CHU ISSAD HASSANI ,"36.77838547633765, 2.981981100682869","""Infectious Disease Emergency,Renadial Hemodialysis,IOrthopedic Emergencies,Trauma center,Ophtalmology Emergency,Cardiac Emergency,Medical-Surgical Emergency,Neurological Emergency,respiratory emergencies""",80
