source,target,length,type,speed,bidirectional
940,949,10.96,residential,30,1
949,946,112.3,residential,30,1
946,945,49.98,residential,30,1
945,951,59.06,residential,30,1
951,941,59.06,residential,30,1
946,947,9.3,residential,30,1
947,948,8.75,residential,30,1
948,40,21.38,residential,30,1
961,960,11.34,service,10,1
969,968,7.28,service,10,1
968,967,3.17,service,10,1
967,966,5.05,service,10,1
966,961,46.74,service,10,1
961,965,50.05,service,10,1
965,964,4.95,service,10,1
964,963,4.38,service,10,1
963,962,10.05,service,10,1
42,4123,16.55,primary,100,1
4123,41,1.9,primary,100,1
41,40,21.57,primary,100,1
40,39,64.93,primary,100,1
39,2061,84.51,primary,100,1
901,2238,53.78,residential,30,1
800,3365,43.32,residential,30,1
799,3370,90.47,residential,30,1
915,916,50.02,residential,30,1
919,96,41.28,service,10,1
921,920,28.32,service,10,1
920,918,14.38,service,10,1
3401,918,86.92,service,10,1
788,3402,56.0,residential,30,1
923,952,72.29,residential,30,1
952,924,43.33,residential,30,1
924,944,13.74,residential,30,1
944,938,39.21,residential,30,1
938,925,3.13,residential,30,1
925,939,2.84,residential,30,1
939,932,21.25,residential,30,1
932,926,2.15,residential,30,1
926,931,2.16,residential,30,1
931,934,17.71,residential,30,1
934,927,3.3,residential,30,1
927,933,3.08,residential,30,1
933,950,41.07,residential,30,1
950,928,41.06,residential,30,1
928,3437,3.45,residential,30,1
3437,935,3.41,residential,30,1
935,936,3.05,residential,30,1
936,929,3.16,residential,30,1
929,953,5.43,residential,30,1
953,949,29.83,residential,30,1
949,930,9.28,residential,30,1
942,943,19.89,residential,30,1
943,940,7.13,residential,30,1
707,1149,14.34,primary,100,0
1149,3374,12.11,primary,100,0
3374,88,18.15,primary,100,0
88,55,128.29,primary,100,0
55,740,13.9,primary,100,0
740,741,11.9,primary,100,0
741,437,11.31,primary,100,0
437,92,158.37,primary,100,0
92,742,8.33,primary,100,0
742,709,6.07,primary,100,0
709,87,7.53,primary,100,0
87,86,22.84,primary,100,0
86,743,3.21,primary,100,0
743,744,3.76,primary,100,0
744,745,4.84,primary,100,0
745,1384,20.88,primary,100,0
755,756,20.57,service,10,1
756,757,15.89,service,10,1
757,758,7.02,service,10,1
758,759,5.09,service,10,1
759,760,11.17,service,10,1
760,761,13.36,service,10,1
762,769,15.74,residential,30,1
769,763,10.7,residential,30,1
763,764,9.56,residential,30,1
764,765,9.56,residential,30,1
765,766,9.55,residential,30,1
766,770,6.7,residential,30,1
770,767,6.7,residential,30,1
767,768,6.7,residential,30,1
