source,target,length,type,speed,bidirectional
1,239,55.35,primary,100,1
239,245,41.98,primary,100,1
245,244,39.43,primary,100,1
244,9858,28.88,primary,100,1
9858,243,15.23,primary,100,1
243,242,56.14,primary,100,1
242,6518,5.66,primary,100,1
6518,241,36.45,primary,100,1
241,273,21.91,primary,100,1
6,91,30.08,primary,40,1
4803,6689,62.17,primary,40,1
6689,4790,19.23,primary,40,1
4790,7,22.64,primary,40,1
7,4787,19.98,primary,40,1
15,3084,20.49,primary,40,0
3084,6078,13.16,primary,40,0
6078,3085,55.49,primary,40,0
3085,6031,4.39,primary,40,0
6031,6025,5.64,primary,40,0
6025,4691,5.11,primary,40,0
4691,6027,14.13,primary,40,0
6027,7044,6.37,primary,40,0
7044,6029,4.97,primary,40,0
6029,5078,4.94,primary,40,0
5078,6024,4.22,primary,40,0
6024,5079,12.55,primary,40,0
5079,6028,6.28,primary,40,0
6028,5080,7.88,primary,40,0
5080,278,80.05,primary,40,0
32,2977,108.11,primary,100,0
2977,6897,108.73,primary,100,0
6897,2976,10.53,primary,100,0
2976,420,16.84,primary,100,0
4669,16,120.19,primary_link,50,0
16,17,46.43,primary_link,50,0
17,4658,63.21,primary_link,50,0
4658,0,37.11,primary_link,50,0
18,4635,40.11,primary_link,40,0
4635,4637,23.34,primary_link,40,0
4637,4662,13.49,primary_link,40,0
4662,4627,18.75,primary_link,40,0
4627,4668,18.91,primary_link,40,0
4668,4666,20.39,primary_link,40,0
4666,4664,20.46,primary_link,40,0
4664,4653,16.7,primary_link,40,0
4653,4644,20.1,primary_link,40,0
4644,4669,33.63,primary_link,40,0
288,22,30.0,primary_link,30,0
22,21,23.38,primary_link,30,0
21,20,14.58,primary_link,30,0
20,19,13.3,primary_link,30,0
19,26,15.1,primary_link,30,0
26,24,14.61,primary_link,30,0
24,27,21.29,primary_link,30,0
27,25,40.7,primary_link,30,0
25,23,115.06,primary_link,30,0
30,35,16.69,primary_link,30,0
35,31,6.55,primary_link,30,0
31,34,11.79,primary_link,30,0
34,32,25.73,primary_link,30,0
12,39,18.37,primary_link,30,0
39,40,16.03,primary_link,30,0
40,37,12.05,primary_link,30,0
44,7081,2.42,primary,40,0
7081,47,152.87,primary,40,0
47,48,106.51,primary,40,0
5948,5947,37.35,primary,30,0
5947,11436,4.27,primary,30,0
11436,5946,5.5,primary,30,0
252,4929,15.45,primary,100,1
4929,251,36.86,primary,100,1
251,6517,17.32,primary,100,1
6517,250,37.48,primary,100,1
250,248,40.67,primary,100,1
248,249,34.87,primary,100,1
249,247,34.3,primary,100,1
247,246,35.31,primary,100,1
246,240,61.12,primary,100,1
240,8290,21.71,primary,100,1
8290,8291,7.52,primary,100,1
8291,1,11.08,primary,100,1
32251,32252,66.51,residential,30,0
32252,32307,6.18,residential,30,0
32307,32328,3.92,residential,30,0
32328,32329,15.97,residential,30,0
32329,32330,11.54,residential,30,0
32330,44,9.49,residential,30,0
32249,32305,32.14,residential,30,1
32305,32316,39.45,residential,30,1
32316,32253,63.2,residential,30,1
32253,32325,14.01,residential,30,1
32325,32250,10.55,residential,30,1
32250,32251,50.39,residential,30,1
32251,43,60.58,residential,30,1
47,32304,6.36,residential,30,1
32304,32254,25.95,residential,30,1
49,269,97.26,primary,30,1
52,7417,6.81,primary,40,0
7417,55,9.14,primary,40,0
55,9663,15.53,primary,40,0
5667,5665,10.1,primary,50,0
5665,5679,9.54,primary,50,0
5679,5674,17.7,primary,50,0
5674,5678,64.72,primary,50,0
5678,4100,43.57,primary,50,0
4100,6408,66.23,primary,50,0
6408,6701,27.55,primary,50,0
6701,5661,47.24,primary,50,0
5661,77,25.43,primary,50,0
77,7920,19.78,primary,50,0
7920,7919,37.64,primary,50,0
7919,75,21.89,primary,50,0
85,5649,45.1,primary,50,0
5649,5681,17.97,primary,50,0
5681,5659,15.97,primary,50,0
5659,5647,15.59,primary,50,0
5647,84,17.4,primary,50,0
84,6729,56.56,primary,50,0
6729,5648,51.21,primary,50,0
5648,4101,64.87,primary,50,0
4101,4102,18.53,primary,50,0
4102,5680,23.42,primary,50,0
5680,5655,15.0,primary,50,0
5655,5658,9.75,primary,50,0
5658,5682,11.01,primary,50,0
5682,66,13.35,primary,50,0
5651,5686,5.29,primary_link,50,0
5686,5652,6.42,primary_link,50,0
5652,5669,10.75,primary_link,50,0
5669,66,12.94,primary_link,50,0
5656,31362,15.31,secondary,40,0
31362,31259,16.21,secondary,40,0
31259,89,55.9,secondary,40,0
31375,31263,5.79,secondary,40,0
31263,31373,5.78,secondary,40,0
31373,31376,5.79,secondary,40,0
31376,90,7.51,secondary,40,0
4795,31942,8.92,secondary,100,0
31942,31900,6.41,secondary,100,0
31900,31854,31.14,secondary,100,0
31854,31901,31.47,secondary,100,0
31901,97,10.82,secondary,100,0
4787,4785,29.14,primary,100,1
98,6743,14.16,primary_link,30,0
6743,94,12.01,primary_link,30,0
4806,93,8.81,primary_link,30,0
93,4805,4.72,primary_link,30,0
4805,6741,42.84,primary_link,30,0
6741,96,11.61,primary_link,30,0
4798,6742,6.03,primary_link,30,0
6742,4804,47.02,primary_link,30,0
4804,4806,11.51,primary_link,30,0
96,98,21.95,primary,30,0
98,4797,2.84,primary,30,0
4797,4796,2.7,primary,30,0
4796,4794,2.42,primary,30,0
4794,4793,2.75,primary,30,0
4793,4792,2.67,primary,30,0
4792,4791,3.92,primary,30,0
4791,95,4.01,primary,30,0
4807,31357,8.18,tertiary,70,0
31357,31268,28.02,tertiary,70,0
31268,31359,5.64,tertiary,70,0
31359,31267,9.56,tertiary,70,0
31267,31273,16.43,tertiary,70,0
31273,31272,24.01,tertiary,70,0
31272,31271,53.12,tertiary,70,0
31271,31270,30.75,tertiary,70,0
31270,31269,69.44,tertiary,70,0
31269,31338,18.47,tertiary,70,0
31338,31351,20.79,tertiary,70,0
31351,31266,20.27,tertiary,70,0
31266,31311,13.51,tertiary,70,0
31311,31265,15.5,tertiary,70,0
31265,31264,43.69,tertiary,70,0
31264,31845,14.38,tertiary,70,0
31845,31846,13.66,tertiary,70,0
31846,31899,28.7,tertiary,70,0
31899,95,15.13,tertiary,70,0
5650,4096,9.03,primary_link,30,0
4096,7470,4.07,primary_link,30,0
7470,4097,8.18,primary_link,30,0
4097,4098,48.01,primary_link,30,0
4098,7474,10.56,primary_link,30,0
7474,4099,2.04,primary_link,30,0
4099,4095,12.92,primary_link,30,0
31940,31855,2.07,secondary,100,0
31855,31781,28.73,secondary,100,0
31781,31937,8.77,secondary,100,0
31937,127,44.72,secondary,100,0
132,3013,9.28,primary,30,0
3013,7165,20.22,primary,30,0
7165,3014,30.33,primary,30,0
3014,227,62.74,primary,30,0
227,4772,33.33,primary,30,0
4772,133,7.71,primary,30,0
133,7992,29.45,primary,30,0
7992,134,1.15,primary,30,0
134,91,10.99,primary,30,0
133,4769,13.81,primary_link,30,0
4769,137,9.79,primary_link,30,0
137,4768,8.85,primary_link,30,0
4768,7476,6.35,primary_link,30,0
7476,138,2.47,primary_link,30,0
138,136,14.5,primary_link,30,0
133,6736,13.46,primary,30,0
6736,7993,15.32,primary,30,0
7993,4771,2.34,primary,30,0
4771,4770,15.12,primary,30,0
4770,6,11.22,primary,30,0
6,7991,20.75,primary,50,0
7991,231,19.73,primary,50,0
231,4777,19.53,primary,50,0
4777,149,27.1,primary,50,0
149,8292,2.14,primary,50,0
8292,5,45.28,primary,50,0
5,5945,5.46,primary,50,0
5945,4,5.08,primary,50,0
4,232,35.19,primary,50,0
232,236,44.44,primary,50,0
236,234,59.86,primary,50,0
234,6685,3.88,primary,50,0
6685,9860,41.51,primary,50,0
9860,235,7.08,primary,50,0
235,6686,30.97,primary,50,0
6686,237,13.23,primary,50,0
237,9859,66.92,primary,50,0
9859,6687,3.23,primary,50,0
6687,8608,95.74,primary,50,0
8608,7075,9.64,primary,50,0
7075,7076,18.02,primary,50,0
7076,275,30.35,primary,50,0
74,6735,8.13,primary,40,0
6735,144,8.32,primary,40,0
144,143,21.55,primary,40,0
143,5666,23.94,primary,40,0
5666,6813,79.09,primary,40,0
6813,6,14.76,primary,40,0
91,139,102.08,primary,40,0
139,140,24.62,primary,40,0
140,142,20.19,primary,40,0
142,776,17.73,primary,40,0
776,5670,13.58,primary,40,0
777,7921,17.29,primary,40,0
7921,5660,28.56,primary,40,0
5660,75,31.33,primary,40,0
139,141,21.74,primary_link,30,0
141,6734,15.72,primary_link,30,0
6734,76,16.12,primary_link,30,0
145,5688,24.81,primary_link,30,0
5688,5684,7.91,primary_link,30,0
5684,5668,5.44,primary_link,30,0
5668,5676,8.84,primary_link,30,0
5676,5654,7.89,primary_link,30,0
5654,5677,14.22,primary_link,30,0
